endereco;descricao;area_m2;quartos;banheiros;vagas_garagem;valor_imovel;valor_condominio;valor_iptu;link;bairro;cidade
Travessa Desembargador Álvaro Ferreira Pinto;Excelente apartamento de 81 m² com dois quartos (sendo uma suíte), sala espaçosa em dois ambientes com painel e lavabo, varanda gourmet, com bancada, cortina de vidro e tela de proteção, armários planejados nos banheiros, cozinha e área de serviço duas vagas de garagem (na escritura) não precisa entrar em sorteio de vagas  Prédio novo, com estrutura de lazer completa. (Piscinas adulto e infantil, sauna e hidromassagem, cinema, salão de festas, área kids e espaço baby.  Excelente localização em área nobre, tranquila e segura de Icaraí, próximo ao comércio, escolas, mercados e ao polo gastronômico da Nóbrega.;81;2;2;2;760000;900;416;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-icarai-niteroi-rj-81m2-id-2612044714/;Icaraí; Niterói
Rua Antônio Fernandes;Kiffer Imóveis vende:  Apartamento térreo, composta por sala ampla, banheiro social com blindex, dois quartos, sendo um suíte, cozinha com moveis planejados e Cooktop. Quarto de serviço amplo, podendo ser revertido, área de serviço e ampla varanda gourmet. em região privilegiada, próximo ao comércio local. Sem vaga de garagem!  Agende uma visita com um de nossos consultores!!  CÓDIGO DO ANUNCIANTE: AP7106 -;100;2;2;0;470000;300;110;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-santa-rosa-niteroi-rj-100m2-id-2639329478/;Santa Rosa; Niterói
Rua Terceiro-Sargento-Aeronáutica João Soares de Faria;Linda cobertura duplex com três dormitórios, sendo um suíte com hidromassagem, iluminação com sanca, cozinha planejada com três anos, cozinha e banheiros com paredes em granito, piso total em granito, varanda, terraço com churrasqueira. Prédio com duas quadras, parque infantil, duas piscinas, academia, salão de festas com churrasqueira, salão de jogos e bilhar. BEM LOCALIZADO RUA TERCEIRO-SARGENT0 JOÃO SOARES DE FARIA. AGENDE SUA VISITA !! Características: Academia, varanda, área de serviço, churrasqueira, piscina, salão de festas, porteiro 24h;160;3;2;1;750000;1000;1250;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-parque-novo-mundo-zona-norte-sao-paulo-sp-160m2-id-2645043056/;Parque Novo Mundo; São Paulo
Rua Coimbra;VILA LUSITÂNIA -4   SOBRADO  Rua Coimbra,128 Vila Lusitânia/SBC  256 m² 3 dormitórios + 3 suítes 7 vagas de garagem   Conheça seu futuro lar!!!   Nesse lindo sobrado, moderno e espaçoso, morou uma família que é muito feliz e criou memórias afetivas inesquecíveis.  Aqui também foi o lar da Puca e do Garu, dois cãezinhos lindos da família, que permaneceram com eles por mais de 10 anos, completando a alegria desse lar.   Pois bem, agora os filhos já estão crescidos, formados, maduros e com liberdade para buscar e viver o novo, esse lar ficou grande demais para os pais, que agora podem aproveitar para viajar, curtir a vida, e até mesmo mudar para um imóvel menor, isso enquanto os netos não chegam rsrs, pois com certeza serão avós cheios de amor, dedicação e cuidados só para eles!!!  Enfim, esse lindo sobrado, uma verdadeira tela em branco, poderá ser seu!!!   Para você e sua família também escreverem a sua história e gerar memórias inesquecíveis!!!  Poderão ousar dessa tela em branco, em mobília, decoração, cores, paisagismo,e deixar com estilo da sua família.   São 256m² de área construída, com uma fachada moderna, 07 vagas, wc na garagem, lavabo, espaço para você reunir seus amigos, familiares, fazer o seu terraço gourmet, colocar uma jacuzzi, e até mesmo fazer playground para seus filhos ou netos, já pensou ter todo esse espaço para você aproveitar com sua família?  As salas de jantar e estar são integradas, com excelente iluminação natural, sol da manhã, muita ventilação, e se você gosta de um bom vinho, há um belo espaço para colocar uma linda adega em marcenaria com iluminação, trazendo destaque e sofisticação para o ambiente.   Ainda nesse ambiente há um jardim de inverno, que pode ser aplicado a um belo paisagismo, trazendo aconchego e muito verde.   A cozinha com toda bancada em granito preto, feita toda em alvenaria com portas em vidro transparentes, trazendo ao centro da cozinha, uma outra bancada para refeições rápidas, integrando a família naqueles momentos especiais, seja para jantar, almoço e até mesmo café da manhã.   No andar superior ficam as 03 suítes amplas, e um mezanino que pode ser uma sala mais intimista, sala de TV, salão de jogos, biblioteca, enfim, uma infinidade de opções para esse local.  A casa conta com aquecimento solar, alarmes, câmeras e possui um sótão que você também pode utilizar para agregar mais um ambiente, pois o mesmo possui toda infraestrutura e altura para criação de um novo espaço.   A localização é excelente, há 03 minutos do Teatro Martins Pena, 05 minutos da Rua Jurubatuba, muito conhecida pela variedade de lojas de móveis sofisticados e de designers diferenciados.  Há 04 minutos do Centro de SBC - R. Marechal Deodoro, que possui toda a infraestrutura de comércio e serviços da região, academias, hospitais, colégios e faculdades, está há 08 minutos do São Bernardo Plaza Shopping, Shopping Metrópole, padaria Brasileira e restaurantes.;256;3;4;7;1330000;0;3193;https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-vila-luzitania-sao-bernardo-do-campo-sp-256m2-id-2644696909/;Vila Lusitânia; São Bernardo do Campo
Rua Oscar Freire;Situado em área nobre da capital paulista,este tradicional imovél esta localizado na rua mais chramosa de cidade,OSCAR FREIRE,apartamento com 3 dormitorios,sendo 1 suite 1 vaga de garagem,em condominio tranquilo e seguro, feito para voce que tem objetivo de morar bem localizado e com qualidade de vida, O Condomínio é equipado com diversas instalações, como portaria 24 horas, gás encanado e espaço gourmet na área comum. Fica localizado em Rua Oscar Freire, no bairro Jdim América, São Paulo, próximo a lugares como Nilton Travesso Oficina de Atores, Estação Clínicas, FMUSP - Faculdade Medicina USP, Instituto Mindset, E.E Godofredo Furtado e Hospital das Clínicas São Paulo.;110;3;2;1;1395000;2500;400;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-elevador-pinheiros-zona-oeste-sao-paulo-sp-110m2-id-2645041802/;Pinheiros; São Paulo
Rua Piracicaba;APARTAMENTO VALPARAISO EM SANTO ANDRÉ:- 3 DORMITÓRIOS SENDO 1 DELES COM ARMÁRIOS PLANEJADOS, OUTRO COM SACADA, SALA 2 AMBIENTES COM SACADA, PAINEL DE HOME THEATER, ESPELHOS, LUSTRES, PERSIANAS E PRATELEIRAS DE VIDRO, COZINHA PLAN EJADA COM ELETRODOMÉSTICOS, BANHEIRO SOCIAL COM GABINETE E BOX, LAVANDERIA, 1 VAGA NA GARAGEM INDEPENDENTE E FIXA. ÁREA ÚTIL 64,38M2., CONDOMINIO COM ÁREA DE LAZER COMPLETO.GÁS ENCANADO INDIVIDUALIZADO.ACEITA FINANCIAMENTO RE FGTS.Ref. 22652 R$ 399.000,00 JULI IMÓVEIS Creci 8827- J Atualizado em;64;3;1;1;399000;529;127;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-vila-valparaiso-santo-andre-sp-64m2-id-2645045010/;Vila Valparaíso; Santo André
Rua Professor João Arruda;Apartamento em Perdizes com 72 m², próximo à PUC! Esquina da Monte Alegre com Prof. João Arruda. Excelente localização, rua tranquila (com acesso rápido à padaria, farmácia, mercado, co-working, salão de beleza, etc.) 72 m, 2 quartos, 1 banheiro, sem vaga de garagem, 2 elevadores Portaria 24 horas! OBS: SEM VAGA DE GARAGEM. -;72;2;1;0;530000;1100;234;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-perdizes-zona-oeste-sao-paulo-sp-72m2-id-2645038656/;Perdizes; São Paulo
Rua São Pedro;Maravilhoso apartamento com 48m² todo emassado e pintado, rebaixado em gesso, 2 quartos, sala ampla, varanda com uma linda vista, banheiro social com bancada em granito e box de vidro temperado, cozinha com armários modulados de ótima qualidade.  Localizado no bairro Castelândia na grande Jacaraípe, o apartamento está situado no Condomínio Enseada de Jacaraípe que dispõe dos seguintes itens: 1 vaga de garagem, piscina com sauna acoplada, playground, área de churrasco, quadra poliesportiva, salão de festas e muito mais. Próximo ao comércio local de Jacaraípe.  Aceita financiamento bancário e FGTS.  Agende já sua visita!;48;2;1;1;199000;1;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-conjunto-jacaraipe-serra-es-48m2-id-2644943570/;Conjunto Jacaraípe; Serra
Rua Fortunato Ferraz;NEGOCIE DIRETO COM A CONSTRUTORA!  Maravilhoso Empreendimento em ❌ OBRAS FINAIS ❌ com plantas de  157 m², 3 quartos ou 4 quartos, 3 suítes , 3 vagas, varanda e depósito!  3 Vagas de Garagem com Depósito Alto Padrão de Acabamento Quadra de Beach Tennis Varanda Gourmet com Churrasqueira à Carvão Lazer Completo num Mega Terreno para toda Família com Piscina Coberta, Quadra e Muito Mais.  Entre em contato e garanta já a sua unidade!   *Perspectiva de preço ref. à unid. no primeiro andar, pagamento à vista Consulte demais unidades e condições de pagamento. Unidades sujeito à disponibilidade. Alterações de preço estão sujeitas sem aviso prévio.;157;3;5;3;1698100;1099;1;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-lapa-zona-oeste-sao-paulo-sp-157m2-id-2644115967/;Vila Anastácio; São Paulo
Avenida Bem-te-vi;O apartamento no bairro Moema possui 80 metros quadrados com 2 quartos sendo 2 suites e 3 banheiros Possui salão para festas e eventos, parquinho infantil, jardim, espaço gourmet, academia. Vai lhe possibilitar curtir os dias mais quentes na piscina.Churrasqueira para você aproveitar nos momentos de descontração. Elevador que garante o transporte das suas malas e compras.;80;2;3;1;1600000;800;0;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-moema-zona-sul-sao-paulo-sp-80m2-id-2643766237/;Moema; São Paulo
Não informado;A casa de condomínio está localizado no bairro Araçagy possui 444 metros quadrados com 5 quartos sendo 5 suites e 6 banheiros Possui área de fitness, espaço gourmet, espaço jardinado, parquinho infantil, salão de festas. Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes.Churrasqueira para você aproveitar nos momentos de descontração. Elevador que garante o transporte das suas malas e compras. Fica em um condomínio fechado.;444;5;6;4;5000000;1;1;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-5-quartos-com-piscina-aracagy-sao-jose-de-ribamar-ma-444m2-id-2644952358/;Araçagy; São José de Ribamar
Não informado;Excelente oportunidade!!!  Casa no Complexo Costa do Sauípe!!!  Casa com 6 suítes (Venda porteira fechada) 8 anos de construída Ar condicionado em todos os cômodos Armários planejados Ampla e Ventilada Salão de jogos Área gourmet Piscina com prainha e muito mais!!!  Almeida 7 1 9 9 9 0 8 5 8 4 7   @_.almeidacorretordeimoveis;490;6;7;6;1850000;1800;550;https://www.zapimoveis.com.br/imovel/venda-casa-6-quartos-centro-porto-de-sauipe-mata-de-sao-joao-ba-490m2-id-2644955671/;Mata de São João;Mata de São João
Rua Maria Amélia Lima Lopes;O apartamento no Condomínio Canoas (Graciliano Ramos) está localizado no bairro Farolândia possui 65 metros quadrados com 3 quartos e 1 banheiro, sala, cozinha integrada à área de serviço e garagem coberta.  Encontra-se na privacidade de um condomínio fechado com portaria 24h.  Fica próximo a bancos, mercados, feira livre, consultórios, restaurantes, escolas, universidade...  Agende uma visita!  Cecília Carlos CRECI 6130 7 9 - 9 9 1 2 7 - 7 9 7 7;65;3;1;1;130000;275;340;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-farolandia-aracaju-se-65m2-id-2644792355/;Farolândia; Aracaju
Rua Paulo Pampuche;"Casa recém construída em condomínio novo no Campo Comprido  Sala de Jantar, Estar e Cozinha em conceito aberto; Sala de estar com lareira a lenha; Lavabo; Lavanderia; Quintal com churrasqueira a carvão;  2º piso  3 suítes; 1 suíte master com closet;  Preparação de cozinha de apoio;  3º piso:  Sala ampla com lavabo;  Terraço amplo com Jacuzzi e Churrasqueira a carvão.  Casa com preparação para elevador; Garagem para 4 carros; Espaço de deposito; Espera para Split em todos ambientes.  Aproveite para conhecer e agende sua visita.  Os valores estão sujeitos à alteração sem aviso prévio.  --Agez Imóveis--";401;4;6;4;3280000;475;120;https://www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-mobiliado-campo-comprido-curitiba-pr-401m2-id-2636306287/;Campo Comprido; Curitiba
Rua Vilebaldo Aguiar;Excelente apartamento no Cocó, totalmente nascente, com 123 m², 3 quartos sendo 2 suítes plenas e uma reversível. Suíte master com closet. Sala com 2 ambientes, ampla varanda , apartamento totalmente projetado, gabinete, dependência completa de empregada. Possui duas vagas de garagem e lazer completo.  A poucos metros da Praça Martins Dourado do supermercado Center Box, da Avenida Santos Dumont. Próximo de farmácias, restaurantes, hospital São Matheus, escolas e comércio em geral. A poucos metros do Shopping Rio Mar Fortaleza.  Venha conferir. Marcadores:;123;3;4;2;850000;1650;2030;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-coco-fortaleza-ce-123m2-id-2625080839/;Cocó; Fortaleza
Não informado;VENHA MORAR NO GONZAGA!!  Apartamento a moda antiga, 3 quartos amplos, sala 3 ambientes, tudo isso apenas 2 quadras da praia e colado no coração do Gonzaga!!! Prédio com churrasqueira na cobertura e 2 vagas de garagem com manobrista!  Agende já sua visita e não perca esta oportunidade!!!  Invista Inteligência Imobiliária;160;3;4;2;855000;2100;230;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-gonzaga-santos-sp-160m2-id-2633164056/;Gonzaga; Santos
Rua Icaraí;apartamento tatuape,93 mts² uteis,03 dormitorios (01 suite )sala 02 ambientes,cozinha planejadae e armarios nos quatos,lavanderia e wc;93;3;2;1;660000;750;22;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-churrasqueira-tatuape-zona-leste-sao-paulo-sp-93m2-id-2645488452/;Tatuapé; São Paulo
Rua Síria;2 dormitorios, 2 banheiros, sala, cozinha, área de serviço, despensa, 2 vagas de garagem cobertas, proximo Metro, e comercio em geral;74;2;2;2;515000;808;92;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-tatuape-zona-leste-sao-paulo-sp-74m2-id-2645489868/;Parque São Jorge; São Paulo
Rua Gregório de Matos;Terreno a venda no Jd Analia Franco com 505 metros sendo 9 de frente por 45 de fundos.;505;0;0;0;2200000;0;1;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-analia-franco-zona-leste-sao-paulo-sp-505m2-id-2645488141/;Vila Regente Feijó; São Paulo
Não informado;O apartamento está localizado no bairro Muro Alto com 29 metros quadrados com 1 quarto e 1 banheiro Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.;29;1;1;1;465000;430;45;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-infraestrutura-internet-muro-alto-ipojuca-pe-29m2-id-2644069654/;Ipojuca;Ipojuca
